"","replicate","area","species","links","connectances","links_per_sp","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"1",1,1,82,237,0.0713640469738031,2.89024390243902,12.4736842105263,3.07792207792208,0,0.768292682926829,0.0609756097560976,0.170731707317073,3.19104546724576,0.650152553388763,0.437908496732026,5,14,63,0.0992540419101715,4.31578947368421,1.06493506493506,77,19,24.3157894736842
"2",1,2,97,289,0.0620704467353952,2.97938144329897,12.5652173913043,3.04210526315789,0,0.762886597938144,0.0206185567010309,0.216494845360825,3.20179529911805,0.649927106214137,0.399209486166008,2,21,74,0.17547681927681,4.21739130434783,1.02105263157895,95,23,21.6521739130435
"3",1,3,125,454,0.0585806451612903,3.632,16.8148148148148,3.72131147540984,0,0.784,0.024,0.192,3.05386931637571,0.696305180125319,0.515669515669516,3,24,98,0.109047800302505,4.62962962962963,1.02459016393443,122,27,22.9259259259259
"4",1,4,129,463,0.0560804263565891,3.58914728682171,16.5357142857143,3.704,0,0.782945736434108,0.0310077519379845,0.186046511627907,3.11671700110108,0.700548694526895,0.486772486772487,4,24,101,0.106724843382835,4.60714285714286,1.032,125,28,22.1428571428571
"5",1,5,130,467,0.0556946929039952,3.59230769230769,16.6785714285714,3.70634920634921,0,0.784615384615385,0.0307692307692308,0.184615384615385,3.12946865606185,0.69728633284569,0.486772486772487,4,24,102,0.106954038143158,4.64285714285714,1.03174603174603,126,28,22.1428571428571
"6",1,6,133,476,0.0542264752791069,3.57894736842105,16.4137931034483,3.71875,0,0.781954887218045,0.037593984962406,0.180451127819549,3.14095147638337,0.707539924737848,0.467980295566502,5,24,104,0.103795222938061,4.58620689655172,1.0390625,128,29,21.551724137931
"7",1,7,137,481,0.0516316015457278,3.51094890510949,16.5862068965517,3.64393939393939,0,0.788321167883212,0.0364963503649635,0.175182481751825,3.19472886513393,0.719654963525894,0.467980295566502,5,24,108,0.107172340154648,4.72413793103448,1.03787878787879,132,29,21.551724137931
"8",1,8,139,487,0.0507767698884371,3.50359712230216,16.2333333333333,3.63432835820896,0,0.784172661870504,0.0359712230215827,0.179856115107914,3.18821120237548,0.727581341076166,0.471264367816092,5,25,109,0.106925867497921,4.63333333333333,1.03731343283582,134,30,21.3666666666667
"9",1,9,139,487,0.0507767698884371,3.50359712230216,16.2333333333333,3.63432835820896,0,0.784172661870504,0.0359712230215827,0.179856115107914,3.18821120237548,0.727581341076166,0.471264367816092,5,25,109,0.106925867497921,4.63333333333333,1.03731343283582,134,30,21.3666666666667
"10",1,10,139,488,0.0508810343029924,3.51079136690647,16.2666666666667,3.64179104477612,0,0.784172661870504,0.0359712230215827,0.179856115107914,3.18315454964789,0.725274419469245,0.471264367816092,5,25,109,0.108140453696251,4.63333333333333,1.03731343283582,134,30,21.3666666666667
